Время,Монета,"Спред, %","Прибыль, USDT"
2025-04-07T09:28:57.274546,POND,3.65,36.46
2025-04-07T09:29:57.822753,POND,3.73,37.26
2025-04-07T09:30:58.364342,POND,3.72,37.21
2025-04-07T09:31:58.890581,POND,3.67,36.72
2025-04-07T09:32:59.377394,POND,3.57,35.72
2025-04-07T09:34:00.622315,POND,3.75,37.47
2025-04-07T09:35:01.297869,POND,3.75,37.54
2025-04-07T09:36:02.088620,POND,3.86,38.6
2025-04-07T09:37:02.567083,POND,4.06,40.59
2025-04-07T09:38:03.088060,POND,4.03,40.34
2025-04-07T09:39:03.609302,POND,4.3,42.99
2025-04-07T09:39:03.609302,SNT,3.19,31.91
2025-04-07T09:40:04.245873,POND,4.28,42.77
2025-04-07T09:40:04.245873,SNT,3.04,30.42
2025-04-07T09:41:04.783975,POND,3.74,37.37
2025-04-07T09:56:23.861741,SNT,3.07,30.73
2025-04-07T09:57:24.716834,FLM,3.48,34.83
2025-04-07T09:59:25.621764,SNT,3.1,30.99
2025-04-07T10:00:26.202509,SNT,3.16,31.58
2025-04-07T10:02:27.261003,FLM,3.03,30.28
2025-04-07T10:04:28.210732,FLM,3.23,32.28
